8.065647470324812524e-03,8.066224010737161471e-03,8.066337157494593568e-03,8.066323122809178001e-03,8.066297288283074546e-03,8.066219872103510408e-03,8.065743740360079017e-03,8.066342118100703479e-03,8.066302222533646912e-03,8.066346574460606100e-03,8.066328736322122411e-03,8.066253913243986301e-03
-inf,8.329225613100186068e-03,4.032558471443643822e-02,8.069884034537833789e-03,1.670732260368487480e-03,8.020756550182719241e-03,3.774374278676043831e-02,4.032823891617280665e-02,8.325699413632179496e-03,8.186332466578703781e-03,2.444969312151096166e-03,8.072426485995088524e-03
8.328940990982414139e-03,-inf,8.327910247489583515e-03,4.033099650885095533e-02,8.072921938964871397e-03,8.328762907945642252e-03,8.328990789137383569e-03,4.033055290344352006e-02,4.033051096748539732e-02,8.072069105143887813e-03,8.329155622041761395e-03,8.330869076553389790e-03
-inf,-inf,8.079825701973479893e-03,4.164387413504255786e-02,5.255312500000001194e-05,5.213752730127196107e-05,4.645676991194114258e-03,3.188462576099221346e-02,7.228229261719082248e-03,4.351574303592631483e-03,1.142626751822849521e-03,0.000000000000000000e+00
4.032124766177862946e-02,8.328064469669087949e-03,-inf,8.328687441065563829e-03,4.018393208553194818e-02,7.971667325739905524e-03,4.030239110878015840e-02,4.031885887587949996e-02,8.326320478689305110e-03,4.033141652957956957e-02,4.033147223913530199e-02,7.197083543372192679e-03
-inf,7.300568664519012201e-03,-inf,5.220020681321148499e-03,5.165694917678833936e-04,0.000000000000000000e+00,1.506638009923912946e-01,2.016399773955765418e-01,8.502998780121555356e-03,0.000000000000000000e+00,0.000000000000000000e+00,2.313080046500159970e-04
8.114542514815560603e-03,-inf,-inf,3.122366199524564956e-02,0.000000000000000000e+00,7.142060152611853265e-03,1.626149613650106551e-04,4.163937030535918432e-02,0.000000000000000000e+00,2.002223149263920865e-02,2.093990752499943001e-02,2.546001045642099034e-03
-inf,-inf,-inf,4.659424674359254059e-02,0.000000000000000000e+00,5.000000000000001595e-05,0.000000000000000000e+00,2.946566744185260059e-02,1.024665196356544647e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.073273292308905114e-03,4.033079910693542630e-02,8.328182500087290968e-03,-inf,8.330884339098702449e-03,4.033144689080128686e-02,8.328912991476271691e-03,4.033146397510226078e-02,4.033106621727913788e-02,8.328863121710668171e-03,4.033135953648471494e-02,4.033128926639505119e-02
-inf,3.904487558158632743e-02,4.975845352397838782e-03,-inf,7.553764198898924379e-03,4.036687675453408397e-02,7.208022873156842529e-03,3.643744839952041403e-02,3.215474402412885069e-02,8.027583939764722232e-03,1.000334722215723976e-02,3.903354561468727613e-02
4.164252310332150486e-02,-inf,4.164521098745273264e-02,-inf,4.036550046489396221e-02,4.163904167126566969e-02,4.164574390052980246e-02,2.016542968972550587e-01,2.016537683508603240e-01,4.036058781154763797e-02,4.164936947465359973e-02,4.165625076365407631e-02
